zero,orig_zip,LAT,LNG,ZIP
0,2556,41.639445,-70.624515,2556
0,2557,41.441713,-70.576143,2557
0,2558,41.745017,-70.653513,2558
0,2559,41.690243,-70.616283,2559
0,2561,41.766737,-70.540595,2561
0,2562,41.787209,-70.526717,2562
0,2563,41.728137,-70.476549,2563
0,2564,41.271979,-69.984406,2564
0,2568,41.458608,-70.613479,2568
0,2571,41.761187,-70.695991,2571
0,2575,41.400252,-70.656934,2575
0,2576,41.772221,-70.762948,2576
0,2584,41.258688,-70.007142,2584
0,2601,41.657961,-70.298093,2601
0,2630,41.706769,-70.31253,2630
0,2631,41.747513,-70.066223,2631
0,2632,41.659097,-70.346877,2632
0,2633,41.689734,-69.972126,2633
0,2635,41.624054,-70.439397,2635
0,2637,41.705726,-70.270928,2637
0,2638,41.730228,-70.197398,2638
0,2639,41.668067,-70.136979,2639
0,2641,41.751246,-70.153472,2641
0,2642,41.841331,-69.977436,2642
0,2643,41.797777,-69.937327,2643
0,2644,41.683488,-70.510786,2644
0,2645,41.711052,-70.057609,2645
0,2646,41.670596,-70.071449,2646
0,2647,41.630127,-70.310144,2647
0,2648,41.670946,-70.41537,2648
0,2649,41.616801,-70.490097,2649
0,2650,41.701947,-69.961375,2650
0,2651,41.874985,-70.003492,2651
0,2652,42.049537,-70.094991,2652
0,2653,41.769125,-69.97358,2653
0,2655,41.627984,-70.392013,2655
0,2657,42.059829,-70.200407,2657
0,2659,41.681465,-70.023537,2659
0,2660,41.707699,-70.15856,2660
0,2663,41.894444,-70.01218,2663
0,2664,41.674727,-70.195648,2664
0,2666,41.99078,-70.045714,2666
0,2667,41.921997,-70.023356,2667
0,2668,41.716216,-70.36307,2668
0,2669,41.666693,-69.989716,2669
0,2670,41.660113,-70.170678,2670
0,2671,41.670839,-70.1134,2671
0,2672,41.6357,-70.313634,2672
0,2673,41.655712,-70.247044,2673
0,2675,41.704155,-70.231801,2675
0,2702,41.785113,-71.059047,2702
0,2703,41.931653,-71.294503,2703
0,2713,41.441295,-70.902217,2713
0,2715,41.803649,-71.15338,2715
0,2717,41.760108,-70.972874,2717
0,2718,41.862486,-71.01169,2718
0,2719,41.633619,-70.871306,2719
0,2720,41.72505,-71.121329,2720
0,2721,41.675125,-71.148281,2721
0,2723,41.692705,-71.129726,2723
0,2724,41.683936,-71.1775,2724
0,2725,41.720043,-71.188272,2725
0,2726,41.7597,-71.144592,2726
0,2738,41.704138,-70.752225,2738
0,2739,41.665794,-70.814531,2739
0,2740,41.637485,-70.938265,2740
0,2743,41.718217,-70.901151,2743
0,2744,41.606252,-70.913632,2744
0,2745,41.700737,-70.950546,2745
0,2746,41.660995,-70.940137,2746
0,2747,41.664711,-71.015699,2747
0,2748,41.553084,-70.971453,2748
0,2760,41.972509,-71.334397,2760
0,2762,42.0128,-71.336602,2762
0,2763,41.966866,-71.308574,2763
0,2764,41.851929,-71.153598,2764
0,2766,41.965341,-71.18178,2766
0,2767,41.940996,-71.048499,2767
0,2769,41.846878,-71.24487,2769
0,2770,41.759846,-70.838449,2770
0,2771,41.842106,-71.322309,2771
0,2777,41.758163,-71.214181,2777
0,2779,41.838061,-71.077615,2779
0,2780,41.909112,-71.118346,2780
0,2790,41.599176,-71.082371,2790
0,2791,41.528538,-71.078091,2791
0,2802,41.95213,-71.456233,2802
0,2804,41.434772,-71.769527,2804
0,2806,41.734753,-71.319732,2806
0,2807,41.176815,-71.577085,2807
0,2808,41.408251,-71.749674,2808
0,2809,41.67573,-71.273331,2809
0,2812,41.478948,-71.652334,2812
0,2813,41.394216,-71.669822,2813
0,2814,41.895948,-71.700406,2814
0,2815,41.77463,-71.647954,2815
0,2816,41.696499,-71.622662,2816
0,2817,41.637083,-71.678361,2817
0,2818,41.642919,-71.485719,2818
0,2822,41.57021,-71.626993,2822
0,2825,41.782067,-71.726833,2825
0,2826,41.982746,-71.653144,2826
0,2827,41.698748,-71.739118,2827
0,2828,41.879928,-71.563999,2828
0,2830,41.97493,-71.651187,2830
0,2831,41.774762,-71.620289,2831
0,2832,41.514717,-71.729622,2832
0,2833,41.492067,-71.769901,2833
0,2835,41.510088,-71.378366,2835
0,2836,41.454681,-71.620208,2836
0,2837,41.518769,-71.167247,2837
0,2838,41.965257,-71.476374,2838
0,2839,41.940757,-71.641513,2839
0,2840,41.478216,-71.322375,2840
0,2841,41.511864,-71.332175,2841
0,2842,41.518673,-71.281685,2842
0,2852,41.588565,-71.459811,2852
0,2857,41.822761,-71.633605,2857
0,2858,41.964461,-71.651336,2858
0,2859,41.959073,-71.757323,2859
0,2860,41.870562,-71.388681,2860
0,2861,41.878603,-71.353131,2861
0,2863,41.890064,-71.393481,2863
0,2864,41.966913,-71.428933,2864
0,2865,41.915455,-71.449815,2865
0,2871,41.587299,-71.261246,2871
0,2872,41.597055,-71.320666,2872
0,2873,41.533083,-71.780518,2873
0,2874,41.508687,-71.481743,2874
0,2875,41.456486,-71.638865,2875
0,2876,41.994278,-71.58549,2876
0,2878,41.609436,-71.178113,2878
0,2879,41.424019,-71.534277,2879
0,2881,41.478083,-71.524717,2881
0,2882,41.415152,-71.465251,2882
0,2885,41.725138,-71.258805,2885
0,2886,41.703849,-71.455568,2886
0,2888,41.747671,-71.406118,2888
0,2889,41.700591,-71.376927,2889
0,2891,41.361854,-71.789689,2891
0,2892,41.492004,-71.594774,2892
0,2893,41.679006,-71.518688,2893
0,2894,41.444477,-71.703238,2894
0,2895,42.001706,-71.499949,2895
0,2896,41.975186,-71.544069,2896
0,2898,41.51764,-71.668521,2898
0,2903,41.81823,-71.409088,2903
0,2904,41.858334,-71.436294,2904
0,2905,41.784725,-71.396103,2905
0,2906,41.840169,-71.390408,2906
0,2907,41.798593,-71.42463,2907
0,2908,41.839825,-71.436794,2908
0,2909,41.821417,-71.453215,2909
0,2910,41.774999,-71.435594,2910
0,2911,41.854888,-71.472812,2911
0,2912,41.825593,-71.402239,2912
0,2914,41.814838,-71.365333,2914
0,2915,41.772847,-71.354839,2915
0,2916,41.842661,-71.352438,2916
0,2917,41.905774,-71.523305,2917
0,2919,41.82744,-71.519879,2919
0,2920,41.767344,-71.465508,2920
0,2921,41.768455,-71.515778,2921
