new_stop
"(42.27666425714286, -71.34065197142857)"
"(42.27874761249999, -71.34735540416666)"
"(42.31634883333333, -71.34358473333333)"
"(42.3292902, -71.329156)"
"(42.2773469, -71.32525869999999)"
"(42.3297502, -71.3327748)"
"(42.27418568750001, -71.37361422916668)"
"(42.27730395555555, -71.39268323333333)"
"(42.28443052222223, -71.38358418888888)"
"(42.2670403, -71.32449319999999)"
"(42.27833511428572, -71.37666521428572)"
"(42.281670375, -71.35527224375)"
"(42.27191785, -71.34066148333334)"
"(42.295326926315795, -71.37910772105263)"
"(42.2777334, -71.3256917)"
"(42.2935969, -71.36408363749999)"
"(42.32252108, -71.33046431999999)"
"(42.29302178571429, -71.35461445714284)"
"(42.25712670000001, -71.3384468375)"
"(42.276581881818196, -71.34394304772728)"
"(42.27186457, -71.35971296)"
"(42.29019489999999, -71.33756926666666)"
"(42.29879862999999, -71.35499998)"
"(42.30717892666667, -71.34684450666667)"
"(42.287140175, -71.3424337)"
"(42.3022411, -71.32952238)"
"(42.29367719, -71.32742311000001)"
"(42.28815348333333, -71.34471951666667)"
"(42.27237149655171, -71.36847626551724)"
"(42.322564580000005, -71.33488609999999)"
"(42.250104266666675, -71.31804294166666)"
"(42.30080073333334, -71.32550616666667)"
"(42.2726432, -71.63056329999999)"
"(42.301680422222226, -71.34700508888888)"
"(42.29400783846153, -71.38273512307693)"
"(42.30846507368421, -71.35160409473684)"
"(42.2768748, -71.32520735)"
"(42.28324345, -71.337808625)"
"(42.29145792, -71.35200940000001)"
"(42.280671741666666, -71.35926130833333)"
"(42.28746536666666, -71.34745083333333)"
"(42.26099786666666, -71.3070943)"
"(42.2856224, -71.32977456666667)"
"(42.31431899, -71.36434237)"
"(42.308031, -71.36421972499998)"
"(42.313244257142856, -71.34698304285713)"
"(42.2771020375, -71.37166015)"
"(42.27566902222222, -71.35439301666666)"
"(42.27345764166667, -71.32985857499999)"
"(42.29564235, -71.35209878571429)"
"(42.270441663636355, -71.37828329999999)"
"(42.3066081, -71.33256439999998)"
"(42.29934924545454, -71.33407424545454)"
"(42.305185433333335, -71.349666325)"
"(42.290314566666666, -71.3967969888889)"
"(42.26693575, -71.34254035)"
"(42.280642874285704, -71.35230233714283)"
"(42.276910175, -71.384393575)"
"(42.28270753333333, -71.33067543333334)"
"(42.260986725, -71.342668425)"
"(42.27070623636364, -71.31918340909091)"
"(42.277643499999996, -71.3309756)"
"(42.27349802, -71.33700139999999)"
"(42.2913248875, -71.380315075)"
"(42.27046123863633, -71.35044410454545)"
"(42.28099195, -71.38801559999999)"
"(42.27611365, -71.32600109999998)"
"(42.29359075, -71.35785729999999)"
"(42.30860511666667, -71.33542850833334)"
"(42.272649342105254, -71.38402964210528)"
"(42.312078414285715, -71.34936398571429)"
"(42.274097533333325, -71.39493893333334)"
"(42.28696513333333, -71.39082975)"
"(42.30774186, -71.36738381)"
"(42.289090908433685, -71.37439550662671)"
"(42.28743093333333, -71.32848135)"
"(42.30534331176471, -71.35569464705883)"
"(42.271628925, -71.34531847499998)"
"(42.29291318571428, -71.3256140142857)"
"(42.27539723333333, -71.34823613333333)"
"(42.28882212857143, -71.38872758571429)"
"(42.29841911250001, -71.33170056875001)"
"(42.27646415, -71.31851964999998)"
"(42.314394514285716, -71.35950567142858)"
"(42.30580216923077, -71.3379360846154)"
"(42.29708758333334, -71.33372591666667)"
"(42.288846766666666, -71.37695573333333)"
"(42.27289795, -71.3331275125)"
"(42.3105953, -71.38998459999999)"
"(42.2876105875, -71.33884421249999)"
"(42.321526399999996, -71.32852965000001)"
"(42.26111922, -71.3334692)"
"(42.29484671499999, -71.37424333499999)"
"(42.273020707142855, -71.34765239999999)"
"(42.295929, -71.35733421)"
"(42.26083095, -71.3398036)"
"(42.291160016666666, -71.32956695)"
"(42.282613825, -71.39560291249998)"
"(42.327339949999995, -71.33510025)"
"(42.286704283333336, -71.39547236666667)"
"(42.28649202857142, -71.3548353)"
"(42.29502441666667, -71.39294955)"
"(42.29401848571428, -71.3967447142857)"
"(42.29119813333333, -71.34235161666665)"
"(42.28778803000001, -71.33424554999998)"
"(42.280498, -71.396531)"
"(42.31439895555555, -71.35348447777776)"
"(42.287094960000005, -71.38418623999999)"
"(42.30595145333333, -71.35891415333334)"
"(42.27584260833333, -71.37927013749997)"
"(42.29439896666667, -71.3351023)"
"(42.3162235, -71.3317077)"
"(42.289084100000004, -71.4004542625)"
"(42.274411227272736, -71.31200088181816)"
"(42.285598066666665, -71.38657882222222)"
"(42.29501004999999, -71.33030575)"
"(42.2850902875, -71.3807693375)"
"(42.296907505882345, -71.36215601764705)"
"(42.269167525, -71.30921699999999)"
"(42.2646689, -71.329596775)"
"(42.2595524, -71.3400588)"
"(42.255783, -71.349639)"
"(42.29254601428571, -71.33831567142856)"
"(42.27552565, -71.32789749999999)"
"(42.284488525, -71.393085175)"
"(42.3409333, -71.2008372)"
"(42.317979550000004, -71.34082425)"
"(42.30384345, -71.36326497499999)"
"(42.330477775, -71.33035135)"
"(42.28178345714286, -71.34165622857144)"
"(42.26349176666667, -71.34282689999999)"
"(42.2588077, -71.32872780000001)"
"(42.30605495833333, -71.32965514166666)"
"(42.29184025384615, -71.3912529076923)"
"(42.29774021428572, -71.37565406428571)"
"(42.282336436363636, -71.34414129090909)"
"(42.31101669333332, -71.35754242666665)"
"(42.30210971666667, -71.32696273333333)"
"(42.295043925, -71.347487525)"
"(42.310607222222224, -71.33070507777778)"
"(42.28601646666666, -71.3763333)"
"(42.289344737499995, -71.3469511125)"
"(42.26407536666667, -71.33505219999999)"
"(42.299411899999996, -71.32813916666666)"
"(42.2989261, -71.3254907)"
