STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,ACMH,ACSH,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDFG,WESD,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/2/1990,100,100,12.53,2156,0.45,0,0,,50,32,0,45,,25.3,1,,,,,,,,,,,,,,1,,1,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/3/1990,100,100,14.09,2354,0.03,0.2,0,,32,25,0,135,,23,1,,,,,,,,,,,,,,,,1,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/4/1990,100,100,19.24,1743,0.88,4.6,2,,33,16,0,360,0.6,28.9,1,,,1,,,,,,,,,,,,,1,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/5/1990,40,10,11.41,153,0,0,5,,29,15,568,360,1.2,20.8,,,,,,,,,,,,,,,,,1,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/6/1990,50,70,15.43,1348,0,0,4,,45,23,280,270,1.1,31.1,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/7/1990,60,80,9.62,2207,0,0,3,,47,28,231,315,0.9,18.3,1,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/8/1990,10,10,11.18,1447,0,0,2,,51,29,617,225,,23,,,,,,,,1,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/9/1990,70,70,16.78,1411,0,0,0,,61,37,457,225,,38,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/10/1990,90,100,15.88,2141,0.16,0,0,,60,35,5,270,,34.4,1,,,,,,,,,,,,1,,1,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/11/1990,30,20,14.54,935,0,0,0,,42,30,624,270,,25.3,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,2/12/1990,40,50,11.41,553,0,0,0,,40,27,420,360,,18.3,,,,,,,,,,,,,,,,,,,,
