,Crash Number,Crash Date,Crash Severity,Ambient Light
0,1403053,11/25/2001,Non-fatal injury,Dark - lighted roadway
1,1403045,11/23/2001,Non-fatal injury,Dark - lighted roadway
2,1403048,11/25/2001,Non-fatal injury,Daylight
3,1401357,11/19/2001,Non-fatal injury,Dark - lighted roadway
4,1401360,11/19/2001,Non-fatal injury,Daylight
5,1402888,11/25/2001,Non-fatal injury,Dark - lighted roadway
6,1403023,11/20/2001,Non-fatal injury,Daylight
7,1400524,11/9/2001,Not Reported,
8,1401351,11/16/2001,Non-fatal injury,Daylight
9,1401354,11/16/2001,Non-fatal injury,Dark - lighted roadway
10,1401356,11/15/2001,Non-fatal injury,Daylight
11,1406308,12/25/2001,Not Reported,Dark - lighted roadway
12,1406400,12/29/2001,Non-fatal injury,Dark - lighted roadway
13,1408799,12/27/2001,Non-fatal injury,Daylight
14,1421933,3/26/2002,Non-fatal injury,Dark - lighted roadway
15,1414781,3/5/2002,Non-fatal injury,Daylight
16,1414795,2/15/2002,Non-fatal injury,Daylight
17,1414808,2/22/2002,Not Reported,Dark - lighted roadway
18,1414817,2/25/2002,Non-fatal injury,Daylight
19,1416846,2/1/2002,Not Reported,Dark - lighted roadway
20,1416852,1/31/2002,Not Reported,Daylight
21,1419088,2/3/2002,Property damage only (none injured),Dark - roadway not lighted
22,1419106,2/1/2002,Non-fatal injury,Daylight
23,1419116,2/1/2002,Non-fatal injury,Dusk
24,1419549,2/8/2002,Non-fatal injury,Dark - lighted roadway
25,1419564,1/29/2002,Non-fatal injury,Daylight
26,1421180,1/2/2002,Non-fatal injury,Daylight
27,1421406,1/18/2002,Unknown,Dark - lighted roadway
28,1421411,1/20/2002,Non-fatal injury,Daylight
29,1421414,1/20/2002,Non-fatal injury,Dark - lighted roadway
30,1421424,1/8/2002,Non-fatal injury,Daylight
31,1407319,12/16/2001,Property damage only (none injured),Dark - lighted roadway
32,1407327,12/13/2001,Unknown,Dark - lighted roadway
33,1407336,12/11/2001,Non-fatal injury,Not reported
34,1412017,1/28/2002,Property damage only (none injured),Dark - lighted roadway
35,1412031,1/30/2002,Non-fatal injury,Daylight
36,1412774,3/16/2002,Property damage only (none injured),Daylight
37,1412833,3/10/2002,Property damage only (none injured),Not reported
38,1412844,3/8/2002,Property damage only (none injured),Dark - lighted roadway
39,1412850,3/13/2002,Property damage only (none injured),Dark - lighted roadway
40,1412857,3/12/2002,Property damage only (none injured),Dark - lighted roadway
41,1412869,3/11/2002,Non-fatal injury,Daylight
42,1413256,2/12/2002,Non-fatal injury,Daylight
43,1413289,2/20/2002,Non-fatal injury,Dark - lighted roadway
44,1413303,2/22/2002,Non-fatal injury,Dark - lighted roadway
45,1413323,2/22/2002,Non-fatal injury,Dark - lighted roadway
46,1413340,1/7/2002,Non-fatal injury,Daylight
47,1413346,1/5/2002,Property damage only (none injured),Dark - lighted roadway
48,1413351,1/7/2002,Non-fatal injury,Dark - lighted roadway
49,1413368,1/2/2002,Non-fatal injury,Dusk
50,1414536,2/4/2002,Property damage only (none injured),Dark - roadway not lighted
51,1414554,1/15/2002,Unknown,Daylight
52,1414565,2/16/2002,Property damage only (none injured),Dark - lighted roadway
53,1414620,2/20/2002,Non-fatal injury,Not reported
54,1414685,1/24/2002,Property damage only (none injured),Dark - roadway not lighted
55,1414699,2/18/2002,Property damage only (none injured),Dark - lighted roadway
56,1414702,2/15/2002,Non-fatal injury,Dark - roadway not lighted
57,1414708,2/11/2002,Not Reported,Dark - lighted roadway
58,1414723,3/1/2002,Property damage only (none injured),Daylight
59,1414727,3/2/2002,Property damage only (none injured),Daylight
60,1414729,2/24/2002,Property damage only (none injured),Daylight
61,1414767,3/4/2002,Not Reported,Daylight
62,1414775,3/5/2002,Not Reported,Not reported
63,1406055,12/31/2001,Non-fatal injury,Dark - lighted roadway
64,1406180,12/9/2001,Non-fatal injury,Dark - roadway not lighted
65,1406187,12/9/2001,Non-fatal injury,Dark - lighted roadway
66,1406213,12/8/2001,Non-fatal injury,Dark - lighted roadway
67,1406225,12/7/2001,Non-fatal injury,Daylight
68,1406235,12/5/2001,Non-fatal injury,Daylight
69,1406237,12/31/2001,Non-fatal injury,Daylight
70,1406409,12/27/2001,Non-fatal injury,Dusk
71,1406428,12/24/2001,Non-fatal injury,Daylight
72,1406435,12/21/2001,Not Reported,Dark - lighted roadway
73,1406472,12/20/2001,Non-fatal injury,Daylight
74,1406473,12/15/2001,Non-fatal injury,Daylight
75,1412324,2/25/2002,Non-fatal injury,Daylight
76,1412775,3/10/2002,Property damage only (none injured),Dark - lighted roadway
77,1412777,3/17/2002,Non-fatal injury,Daylight
78,1412779,3/21/2002,Property damage only (none injured),Daylight
79,1412789,3/18/2002,Not Reported,Daylight
80,1412793,3/22/2002,Property damage only (none injured),Dark - unknown roadway lighting
81,1412813,3/18/2002,Not Reported,Daylight
82,1413263,2/9/2002,Non-fatal injury,Dark - lighted roadway
83,1418624,1/22/2002,Property damage only (none injured),Dark - lighted roadway
84,1418640,1/21/2002,Non-fatal injury,Daylight
85,1420929,3/23/2002,Not Reported,Daylight
86,1421858,4/1/2002,Property damage only (none injured),Daylight
87,1421927,3/25/2002,Non-fatal injury,Daylight
88,1421936,3/26/2002,Non-fatal injury,Dark - lighted roadway
89,1421940,3/29/2002,Not Reported,Daylight
90,1421995,11/29/2001,Property damage only (none injured),Daylight
91,1422113,3/1/2002,Property damage only (none injured),Daylight
92,1423220,3/29/2002,Non-fatal injury,Daylight
93,1423230,3/30/2002,Not Reported,Daylight
94,1426142,12/20/2001,Property damage only (none injured),Daylight
95,1427428,1/9/2002,Not Reported,Dusk
96,1427600,12/7/2001,Not Reported,Daylight
97,1427605,1/18/2002,Property damage only (none injured),Dark - lighted roadway
98,1427607,1/24/2002,Property damage only (none injured),Dark - lighted roadway
99,1427608,1/9/2002,Property damage only (none injured),Daylight
100,1428140,12/19/2001,Not Reported,Daylight
101,1428712,2/17/2002,Property damage only (none injured),Daylight
102,1428757,3/7/2002,Not Reported,Not reported
103,1428759,12/5/2001,Unknown,Daylight
104,1428806,3/9/2002,Property damage only (none injured),Dark - lighted roadway
105,1428813,3/8/2002,Property damage only (none injured),Dark - lighted roadway
106,1428830,3/6/2002,Not Reported,Dark - lighted roadway
107,1428889,3/2/2002,Non-fatal injury,Dark - roadway not lighted
108,1428912,3/8/2002,Property damage only (none injured),Daylight
109,1428954,12/31/2001,Property damage only (none injured),Daylight
110,1429108,3/13/2002,Property damage only (none injured),Dark - lighted roadway
111,1429130,3/13/2002,Non-fatal injury,Dusk
112,1429243,12/6/2001,Non-fatal injury,Daylight
113,1429824,11/1/2001,Property damage only (none injured),Daylight
114,1430169,11/25/2001,Not Reported,Dark - lighted roadway
115,1430798,4/28/2002,Non-fatal injury,Daylight
116,1430808,5/4/2002,Not Reported,Dark - lighted roadway
117,1430836,11/2/2001,Property damage only (none injured),Daylight
118,1430906,5/5/2002,Not Reported,Dark - lighted roadway
119,1430920,4/30/2002,Non-fatal injury,Daylight
120,1430924,5/2/2002,Not Reported,Daylight
121,1432573,3/21/2002,Property damage only (none injured),Daylight
122,1432589,11/7/2001,Property damage only (none injured),Dark - lighted roadway
123,1433072,11/30/2001,Property damage only (none injured),Daylight
124,1433114,11/13/2001,Property damage only (none injured),Daylight
125,1433277,3/10/2002,Non-fatal injury,Dark - lighted roadway
126,1433296,3/9/2002,Non-fatal injury,Dark - lighted roadway
127,1412783,1/20/2002,Property damage only (none injured),Daylight
128,1412787,3/22/2002,Non-fatal injury,Daylight
129,1413272,2/14/2002,Non-fatal injury,Dark - lighted roadway
130,1418646,1/25/2002,Non-fatal injury,Dark - lighted roadway
131,1418676,1/28/2002,Non-fatal injury,Dark - lighted roadway
132,1420937,3/16/2002,Unknown,Daylight
133,1420944,3/16/2002,Non-fatal injury,Dark - roadway not lighted
134,1420950,3/18/2002,Not Reported,Dark - lighted roadway
135,1420958,3/18/2002,Unknown,Daylight
136,1420967,3/17/2002,Non-fatal injury,Dark - lighted roadway
137,1422731,12/12/2001,Property damage only (none injured),Dark - lighted roadway
138,1422862,12/25/2001,Property damage only (none injured),Dark - lighted roadway
139,1423126,12/18/2001,Property damage only (none injured),Dark - lighted roadway
140,1423141,3/29/2002,Property damage only (none injured),Daylight
141,1423149,3/8/2002,Non-fatal injury,Dark - lighted roadway
142,1423156,1/23/2002,Property damage only (none injured),Daylight
143,1423176,12/14/2001,Property damage only (none injured),Dark - roadway not lighted
144,1423218,3/20/2002,Non-fatal injury,Daylight
145,1423236,3/29/2002,Not Reported,Daylight
146,1423240,3/22/2002,Not Reported,Dark - lighted roadway
147,1423247,3/27/2002,Property damage only (none injured),Daylight
148,1423890,11/21/2001,Not Reported,Dark - lighted roadway
149,1424639,11/25/2001,Not Reported,Dark - lighted roadway
150,1425550,12/27/2001,Property damage only (none injured),Dark - lighted roadway
151,1426469,12/19/2001,Non-fatal injury,Dark - lighted roadway
152,1427205,1/10/2002,Not Reported,Daylight
153,1427255,1/11/2002,Property damage only (none injured),Daylight
154,1427300,1/23/2002,Property damage only (none injured),Dark - lighted roadway
155,1427303,1/23/2002,Not Reported,Dark - lighted roadway
156,1427312,1/16/2002,Property damage only (none injured),Dusk
157,1427317,1/8/2002,Property damage only (none injured),Daylight
158,1427328,1/5/2002,Non-fatal injury,Dark - roadway not lighted
159,1427419,1/13/2002,Non-fatal injury,Dark - roadway not lighted
160,1427753,12/9/2001,Property damage only (none injured),Daylight
161,1428591,3/10/2002,Property damage only (none injured),Dark - lighted roadway
162,1429010,3/2/2002,Non-fatal injury,Daylight
163,1429031,3/15/2002,Unknown,Daylight
164,1429062,3/9/2002,Property damage only (none injured),Dark - lighted roadway
165,1429368,3/2/2002,Non-fatal injury,Not reported
166,1430420,3/21/2002,Property damage only (none injured),Dark - lighted roadway
167,1430899,11/10/2001,Property damage only (none injured),Daylight
168,1433312,3/9/2002,Non-fatal injury,Daylight
169,1433343,3/6/2002,Property damage only (none injured),Daylight
170,1433533,12/11/2001,Not Reported,Daylight
171,1433684,11/30/2001,Not Reported,Daylight
172,1433826,11/21/2001,Not Reported,Dark - lighted roadway
173,1433984,11/19/2001,Not Reported,Daylight
174,1434452,12/21/2001,Not Reported,Daylight
175,1434991,12/10/2001,Non-fatal injury,Daylight
176,1435188,11/10/2001,Not Reported,Unknown
177,1435365,11/22/2001,Not Reported,Dark - lighted roadway
178,1435594,12/4/2001,Property damage only (none injured),Daylight
179,1435958,12/1/2001,Not Reported,Daylight
180,1437158,12/16/2001,Unknown,Dark - lighted roadway
181,1437732,3/28/2002,Non-fatal injury,Daylight
182,1438731,1/27/2002,Property damage only (none injured),Dark - lighted roadway
183,1440757,1/6/2002,Not Reported,Unknown
184,1441574,12/31/2001,Property damage only (none injured),Dark - lighted roadway
185,1441854,3/14/2002,Non-fatal injury,Dark - lighted roadway
186,1441866,3/2/2002,Non-fatal injury,Dark - lighted roadway
187,1441916,11/29/2001,Non-fatal injury,Dark - lighted roadway
188,1441965,12/27/2001,Property damage only (none injured),Daylight
189,1442146,12/2/2001,Unknown,Daylight
190,1442369,12/31/2001,Property damage only (none injured),Dark - lighted roadway
191,1442776,2/15/2002,Property damage only (none injured),Daylight
192,1442962,4/29/2002,Property damage only (none injured),Dark - lighted roadway
193,1442987,5/11/2002,Not Reported,Daylight
194,1442993,5/2/2002,Not Reported,Daylight
195,1442996,5/11/2002,Not Reported,Not reported
196,1444401,1/6/2002,Property damage only (none injured),Dusk
197,1444680,12/26/2001,Property damage only (none injured),Dusk
198,1444751,11/25/2001,Not Reported,Daylight
199,1444850,3/18/2002,Not Reported,Other
200,1445828,4/14/2002,Non-fatal injury,Dark - lighted roadway
201,1445832,4/14/2002,Non-fatal injury,Dark - lighted roadway
202,1445838,4/12/2002,Non-fatal injury,Daylight
203,1445852,4/13/2002,Non-fatal injury,Daylight
204,1445869,4/15/2002,Property damage only (none injured),Daylight
205,1445886,4/10/2002,Property damage only (none injured),Daylight
206,1445895,4/9/2002,Non-fatal injury,Daylight
207,1446489,12/22/2001,Property damage only (none injured),Daylight
208,1447065,12/25/2001,Non-fatal injury,Dark - lighted roadway
209,1447182,11/13/2001,Property damage only (none injured),Daylight
210,1447346,11/29/2001,Not Reported,Daylight
211,1447464,4/16/2002,Non-fatal injury,Dark - lighted roadway
212,1447473,4/20/2002,Non-fatal injury,Dark - lighted roadway
213,1447480,4/20/2002,Non-fatal injury,Dark - lighted roadway
214,1447550,11/29/2001,Property damage only (none injured),Dark - lighted roadway
215,1447792,4/6/2002,Non-fatal injury,Daylight
216,1447804,4/8/2002,Property damage only (none injured),Dark - lighted roadway
217,1447856,4/7/2002,Non-fatal injury,Dark - lighted roadway
218,1447864,4/6/2002,Property damage only (none injured),Dark - roadway not lighted
219,1447904,4/3/2002,Property damage only (none injured),Daylight
220,1448141,4/15/2002,Non-fatal injury,Daylight
221,1448146,4/9/2002,Property damage only (none injured),Daylight
222,1448158,4/10/2002,Property damage only (none injured),Daylight
223,1448227,4/13/2002,Property damage only (none injured),Daylight
224,1448635,5/12/2002,Non-fatal injury,Dark - lighted roadway
225,1448652,11/17/2001,Not Reported,Dark - lighted roadway
226,1448907,12/3/2001,Property damage only (none injured),Dark - lighted roadway
227,1448935,11/19/2001,Not Reported,Daylight
228,1450073,4/30/2002,Property damage only (none injured),Daylight
229,1450135,4/22/2002,Non-fatal injury,Dusk
230,1450136,4/18/2002,Non-fatal injury,Dark - lighted roadway
231,1450146,4/15/2002,Non-fatal injury,Dark - lighted roadway
232,1450158,4/12/2002,Non-fatal injury,Dark - lighted roadway
233,1450396,4/22/2002,Not Reported,Daylight
234,1450404,4/25/2002,Non-fatal injury,Dark - lighted roadway
235,1450413,4/29/2002,Not Reported,Dark - lighted roadway
236,1450441,4/24/2002,Non-fatal injury,Daylight
237,1450708,4/23/2002,Property damage only (none injured),Dark - roadway not lighted
238,1450728,4/10/2002,Property damage only (none injured),Dark - lighted roadway
239,1450733,4/12/2002,Property damage only (none injured),Dark - lighted roadway
240,1450748,4/12/2002,Property damage only (none injured),Daylight
241,1450759,4/19/2002,Property damage only (none injured),Dark - lighted roadway
242,1450761,4/20/2002,Property damage only (none injured),Daylight
243,1450779,4/20/2002,Non-fatal injury,Not reported
244,1450852,4/18/2002,Non-fatal injury,Daylight
245,1451331,11/21/2001,Not Reported,Daylight
246,1451439,5/5/2002,Property damage only (none injured),Dark - lighted roadway
247,1451633,6/26/2002,Non-fatal injury,Daylight
248,1451679,4/30/2002,Property damage only (none injured),Daylight
249,1451704,6/26/2002,Non-fatal injury,Dusk
250,1451801,5/2/2002,Property damage only (none injured),Daylight
251,1451940,5/26/2002,Non-fatal injury,Dark - lighted roadway
252,1451946,5/26/2002,Non-fatal injury,Dark - lighted roadway
253,1451993,12/19/2001,Unknown,Daylight
254,1452007,11/26/2001,Not Reported,Daylight
255,1412318,3/3/2002,Not Reported,Daylight
256,1412322,3/2/2002,Property damage only (none injured),Dark - lighted roadway
257,1430415,12/28/2001,Non-fatal injury,Dark - lighted roadway
258,1430677,11/29/2001,Property damage only (none injured),Daylight
259,1442090,12/20/2001,Non-fatal injury,Dark - lighted roadway
260,1442998,5/13/2002,Not Reported,Not reported
261,1443254,11/23/2001,Unknown,Daylight
262,1443271,12/30/2001,Property damage only (none injured),Dark - lighted roadway
263,1443356,2/26/2002,Property damage only (none injured),Dark - lighted roadway
264,1443794,12/29/2001,Not Reported,Not reported
265,1443826,12/31/2001,Not Reported,Daylight
266,1444377,12/30/2001,Non-fatal injury,Dusk
267,1444858,4/1/2002,Non-fatal injury,Dark - lighted roadway
268,1444902,5/10/2002,Non-fatal injury,Daylight
269,1444906,12/1/2001,Property damage only (none injured),Dark - roadway not lighted
270,1444938,3/29/2002,Non-fatal injury,Daylight
271,1444950,11/23/2001,Property damage only (none injured),Dark - lighted roadway
272,1444993,11/28/2001,Property damage only (none injured),Daylight
273,1445564,12/12/2001,Property damage only (none injured),Dusk
274,1445649,11/20/2001,Not Reported,Dawn
275,1447912,4/5/2002,Property damage only (none injured),Dark - lighted roadway
276,1447924,4/7/2002,Property damage only (none injured),Dark - roadway not lighted
277,1448645,5/12/2002,Property damage only (none injured),Dark - lighted roadway
278,1450976,12/10/2001,Not Reported,Dawn
279,1451179,5/2/2002,Property damage only (none injured),Daylight
280,1451180,5/3/2002,Property damage only (none injured),Daylight
281,1451181,4/13/2002,Property damage only (none injured),Dark - roadway not lighted
282,1451195,5/3/2002,Non-fatal injury,Dark - lighted roadway
283,1451200,4/26/2002,Property damage only (none injured),Daylight
284,1451301,4/27/2002,Non-fatal injury,Daylight
285,1453265,10/31/2001,Non-fatal injury,Dark - lighted roadway
286,1453411,11/21/2001,Not Reported,Daylight
287,1453986,5/7/2002,Non-fatal injury,Daylight
288,1454005,5/13/2002,Non-fatal injury,Daylight
289,1454013,6/20/2002,Non-fatal injury,Not reported
290,1454019,5/18/2002,Property damage only (none injured),Daylight
291,1454021,5/31/2002,Non-fatal injury,Dark - lighted roadway
292,1454029,5/31/2002,Non-fatal injury,Dark - lighted roadway
293,1454033,5/18/2002,Property damage only (none injured),Daylight
294,1454038,5/18/2002,Property damage only (none injured),Daylight
295,1454039,6/1/2002,Non-fatal injury,Daylight
296,1454047,5/31/2002,Non-fatal injury,Daylight
297,1454049,5/13/2002,Non-fatal injury,Daylight
298,1454054,5/30/2002,Non-fatal injury,Dark - lighted roadway
299,1454067,5/30/2002,Unknown,Dusk
300,1454109,5/18/2002,Property damage only (none injured),Daylight
301,1454118,5/14/2002,Non-fatal injury,Daylight
302,1454125,5/13/2002,Property damage only (none injured),Dusk
303,1454136,5/16/2002,Not Reported,Daylight
304,1454212,11/24/2001,Non-fatal injury,Dark - lighted roadway
305,1454348,6/2/2002,Non-fatal injury,Not reported
306,1454962,12/25/2001,Not Reported,Daylight
307,1455011,12/15/2001,Property damage only (none injured),Daylight
308,1455078,11/21/2001,Property damage only (none injured),Dark - unknown roadway lighting
309,1455126,12/18/2001,Non-fatal injury,Daylight
310,1455501,11/11/2001,Non-fatal injury,Dark - lighted roadway
311,1455831,12/7/2001,Not Reported,Dark - lighted roadway
312,1455857,11/24/2001,Not Reported,Dawn
313,1456210,5/6/2002,Non-fatal injury,Daylight
314,1456220,5/8/2002,Non-fatal injury,Daylight
315,1456227,5/8/2002,Not Reported,Daylight
316,1456234,5/9/2002,Non-fatal injury,Daylight
317,1456240,5/9/2002,Non-fatal injury,Dark - lighted roadway
318,1456245,5/11/2002,Non-fatal injury,Daylight
319,1456439,12/29/2001,Property damage only (none injured),Daylight
320,1456745,11/27/2001,Non-fatal injury,Daylight
321,1456847,11/15/2001,Non-fatal injury,Daylight
322,1456956,12/17/2001,Not Reported,Not reported
323,1457103,11/25/2001,Not Reported,Daylight
324,1457169,11/9/2001,Property damage only (none injured),Daylight
325,1457216,12/24/2001,Non-fatal injury,Daylight
326,1457319,12/24/2001,Non-fatal injury,Dark - lighted roadway
327,1457350,5/15/2002,Unknown,Daylight
328,1457360,5/13/2002,Not Reported,Daylight
329,1457598,5/14/2002,Non-fatal injury,Daylight
330,1457607,5/13/2002,Not Reported,Daylight
331,1457731,12/20/2001,Non-fatal injury,Daylight
332,1457801,6/9/2002,Non-fatal injury,Not reported
333,1457922,6/6/2002,Non-fatal injury,Daylight
334,1457944,6/10/2002,Non-fatal injury,Daylight
335,1457973,6/9/2002,Non-fatal injury,Daylight
336,1457980,5/21/2002,Property damage only (none injured),Daylight
337,1458320,12/15/2001,Not Reported,Unknown
338,1458348,11/11/2001,Non-fatal injury,Daylight
339,1458408,11/19/2001,Not Reported,Daylight
340,1458445,11/29/2001,Non-fatal injury,Dark - lighted roadway
341,1458453,11/30/2001,Non-fatal injury,Dark - roadway not lighted
342,1458766,12/14/2001,Not Reported,Daylight
343,1458815,12/24/2001,Non-fatal injury,Dark - lighted roadway
344,1458816,11/4/2001,Non-fatal injury,Daylight
345,1459094,12/10/2001,Property damage only (none injured),Dark - lighted roadway
346,1459249,12/29/2001,Non-fatal injury,Dark - lighted roadway
347,1459284,12/18/2001,Property damage only (none injured),Dusk
348,1459292,11/9/2001,Not Reported,Daylight
349,1459545,12/21/2001,Not Reported,Daylight
350,1459551,11/15/2001,Not Reported,Dusk
351,1459589,11/29/2001,Not Reported,Dark - lighted roadway
352,1459730,5/12/2002,Not Reported,Daylight
353,1460054,11/25/2001,Non-fatal injury,Daylight
354,1460445,11/23/2001,Property damage only (none injured),Daylight
355,1460612,12/9/2001,Non-fatal injury,Not reported
356,1460664,12/1/2001,Not Reported,Dark - lighted roadway
357,1461778,12/14/2001,Property damage only (none injured),Dawn
358,1461898,11/29/2001,Non-fatal injury,Daylight
359,1462294,5/27/2002,Non-fatal injury,Daylight
360,1462358,4/12/2002,Property damage only (none injured),Daylight
361,1462370,5/22/2002,Non-fatal injury,Daylight
362,1462516,12/9/2001,Property damage only (none injured),Daylight
363,1462524,5/22/2002,Not Reported,Daylight
364,1462533,5/29/2002,Property damage only (none injured),Dawn
365,1462535,6/1/2002,Property damage only (none injured),Dark - lighted roadway
366,1462537,6/2/2002,Property damage only (none injured),Daylight
367,1462541,6/2/2002,Non-fatal injury,Dark - lighted roadway
368,1462544,5/28/2002,Not Reported,Not reported
369,1462590,6/3/2002,Non-fatal injury,Daylight
370,1462608,6/7/2002,Non-fatal injury,Daylight
371,1462685,5/30/2002,Property damage only (none injured),Daylight
372,1462756,6/1/2002,Non-fatal injury,Daylight
373,1462835,11/19/2001,Not Reported,Dark - unknown roadway lighting
374,1463283,11/11/2001,Property damage only (none injured),Dark - lighted roadway
375,1463458,11/21/2001,Property damage only (none injured),Daylight
376,1464635,11/10/2001,Property damage only (none injured),Daylight
377,1466322,6/16/2002,Non-fatal injury,Daylight
378,1466328,6/16/2002,Property damage only (none injured),Dark - roadway not lighted
379,1466335,6/18/2002,Property damage only (none injured),Dark - lighted roadway
380,1466340,6/16/2002,Not Reported,Dark - lighted roadway
381,1466594,6/16/2002,Non-fatal injury,Dark - lighted roadway
382,1466601,6/12/2002,Property damage only (none injured),Dark - lighted roadway
383,1466633,6/15/2002,Property damage only (none injured),Daylight
384,1466645,6/15/2002,Property damage only (none injured),Daylight
385,1466656,6/4/2002,Property damage only (none injured),Daylight
386,1466671,6/13/2002,Property damage only (none injured),Daylight
387,1466697,6/15/2002,Non-fatal injury,Daylight
388,1466705,6/15/2002,Property damage only (none injured),Daylight
389,1466829,6/8/2002,Non-fatal injury,Daylight
390,1466897,6/15/2002,Property damage only (none injured),Daylight
391,1468883,2/1/2002,Non-fatal injury,Dusk
392,1468925,2/1/2002,Non-fatal injury,Daylight
393,1468934,1/23/2002,Property damage only (none injured),Dark - lighted roadway
394,1468940,1/27/2002,Non-fatal injury,Daylight
395,1468951,3/23/2002,Non-fatal injury,Daylight
396,1469797,5/12/2002,Non-fatal injury,Dark - lighted roadway
397,1469814,5/5/2002,Property damage only (none injured),Dark - lighted roadway
398,1469886,5/11/2002,Property damage only (none injured),Daylight
399,1469955,6/20/2002,Non-fatal injury,Daylight
400,1469962,6/23/2002,Property damage only (none injured),Daylight
401,1469988,6/4/2002,Property damage only (none injured),Dark - lighted roadway
402,1469997,6/26/2002,Non-fatal injury,Daylight
403,1470120,6/25/2002,Non-fatal injury,Daylight
404,1470154,6/18/2002,Non-fatal injury,Dark - lighted roadway
405,1470166,5/31/2002,Not Reported,Daylight
406,1470230,6/29/2002,Property damage only (none injured),Daylight
407,1470260,12/18/2001,Property damage only (none injured),Dusk
408,1470264,6/25/2002,Property damage only (none injured),Daylight
409,1470269,6/12/2002,Non-fatal injury,Not reported
410,1470275,6/13/2001,Not Reported,Dark - lighted roadway
411,1470287,6/13/2002,Non-fatal injury,Not reported
412,1470317,6/15/2002,Non-fatal injury,Dark - lighted roadway
413,1470335,6/15/2002,Non-fatal injury,Dusk
414,1470353,6/15/2002,Non-fatal injury,Daylight
415,1471871,7/2/2002,Property damage only (none injured),Daylight
416,1471987,6/28/2002,Non-fatal injury,Daylight
417,1471997,7/2/2002,Non-fatal injury,Daylight
418,1472003,7/1/2002,Property damage only (none injured),Dark - lighted roadway
419,1472011,7/5/2002,Non-fatal injury,Daylight
420,1472132,6/23/2002,Non-fatal injury,Dark - lighted roadway
421,1472140,7/3/2002,Property damage only (none injured),Dark - roadway not lighted
422,1472157,6/29/2002,Not Reported,Daylight
423,1472159,3/1/2002,Property damage only (none injured),Daylight
424,1472211,6/26/2002,Non-fatal injury,Dark - lighted roadway
425,1472222,6/27/2002,Non-fatal injury,Daylight
426,1472243,6/29/2002,Not Reported,Daylight
427,1473878,5/4/2002,Property damage only (none injured),Dark - lighted roadway
428,1473952,4/16/2002,Property damage only (none injured),Dark - lighted roadway
429,1475143,6/6/2002,Non-fatal injury,Daylight
430,1475159,6/6/2002,Property damage only (none injured),Daylight
431,1475173,6/6/2002,Property damage only (none injured),Daylight
432,1475187,6/6/2002,Property damage only (none injured),Daylight
433,1475208,5/30/2002,Non-fatal injury,Daylight
434,1475225,6/6/2002,Property damage only (none injured),Dark - roadway not lighted
435,1475258,6/9/2002,Non-fatal injury,Dark - lighted roadway
436,1475276,6/4/2002,Non-fatal injury,Dark - lighted roadway
437,1475288,2/15/2002,Property damage only (none injured),Daylight
438,1475289,5/25/2002,Property damage only (none injured),Dark - roadway not lighted
439,1475307,5/1/2002,Property damage only (none injured),Dark - lighted roadway
440,1478852,8/2/2002,Not Reported,Dark - lighted roadway
441,1478865,7/23/2002,Non-fatal injury,Dusk
442,1478887,8/8/2002,Property damage only (none injured),Daylight
443,1479351,6/27/2002,Property damage only (none injured),Daylight
444,1479377,7/11/2002,Property damage only (none injured),Daylight
445,1479405,7/21/2002,Not Reported,Dusk
446,1479417,6/23/2002,Property damage only (none injured),Daylight
447,1479436,7/26/2002,Property damage only (none injured),Dark - lighted roadway
448,1479444,1/19/2002,Non-fatal injury,Dark - roadway not lighted
449,1479446,2/9/2002,Non-fatal injury,Dark - roadway not lighted
450,1479487,7/18/2002,Non-fatal injury,Daylight
451,1479595,7/18/2002,Property damage only (none injured),Daylight
452,1479604,7/27/2002,Non-fatal injury,Daylight
453,1479708,12/30/1899,Non-fatal injury,Daylight
454,1479724,7/5/2002,Property damage only (none injured),Daylight
455,1479766,7/13/2002,Property damage only (none injured),Dark - lighted roadway
456,1479833,5/31/2002,Property damage only (none injured),Dark - lighted roadway
457,1479906,7/14/2002,Not Reported,Daylight
458,1479914,8/10/2002,Property damage only (none injured),Daylight
459,1479945,7/21/2002,Non-fatal injury,Daylight
460,1480337,8/5/2002,Non-fatal injury,Daylight
461,1480485,7/29/2002,Non-fatal injury,Daylight
462,1480504,7/24/2002,Non-fatal injury,Daylight
463,1480525,7/22/2002,Non-fatal injury,Daylight
464,1480540,7/28/2002,Non-fatal injury,Daylight
465,1480550,7/22/2002,Non-fatal injury,Daylight
466,1480594,8/4/2002,Non-fatal injury,Daylight
467,1481089,7/18/2002,Non-fatal injury,Daylight
468,1481104,7/18/2002,Unknown,Daylight
469,1481116,7/14/2002,Unknown,Dark - lighted roadway
470,1481130,7/16/2002,Non-fatal injury,Daylight
471,1481135,7/22/2002,Unknown,Daylight
472,1481193,7/23/2002,Not Reported,Dark - roadway not lighted
473,1481202,7/23/2002,Non-fatal injury,Daylight
474,1481205,7/25/2002,Non-fatal injury,Dusk
475,1481208,7/26/2002,Non-fatal injury,Dark - lighted roadway
476,1481212,7/30/2002,Non-fatal injury,Daylight
477,1481216,8/3/2002,Non-fatal injury,Not reported
478,1483566,7/13/2002,Non-fatal injury,Dark - lighted roadway
479,1483597,7/13/2002,Non-fatal injury,Not reported
480,1483617,7/7/2002,Non-fatal injury,Daylight
481,1483626,7/4/2002,Non-fatal injury,Dark - lighted roadway
