,Crash Number,Crash Date,Crash Severity,Ambient Light
8168,2613173,6/25/2010,Non-fatal injury,Daylight
8169,2613277,9/16/2009,Not Reported,Daylight
8170,2613341,6/22/2010,Non-fatal injury,Daylight
8171,2613579,6/7/2010,Non-fatal injury,Not reported
8172,2613581,6/10/2010,Non-fatal injury,Daylight
8173,2613583,6/10/2010,Non-fatal injury,Dark - lighted roadway
8174,2613584,6/13/2010,Non-fatal injury,Dark - lighted roadway
8175,2613665,6/9/2010,Non-fatal injury,Daylight
8176,2613682,6/21/2010,Not Reported,Daylight
8177,2614550,6/27/2010,Not Reported,Daylight
8178,2614671,6/20/2010,Property damage only (none injured),Dark - lighted roadway
8179,2615917,6/24/2010,Non-fatal injury,Daylight
8180,2616122,7/24/2009,Not Reported,Dark - lighted roadway
8181,2616247,5/18/2010,Property damage only (none injured),Dark - lighted roadway
8182,2617279,11/23/2009,Not Reported,Daylight
8183,2617314,7/21/2009,Property damage only (none injured),Daylight
8184,2617321,5/14/2009,Non-fatal injury,Daylight
8185,2617579,7/2/2010,Not Reported,Dark - lighted roadway
8186,2617580,7/3/2010,Not Reported,Daylight
8187,2617585,7/6/2010,Not Reported,Dark - lighted roadway
8188,2617586,7/6/2010,Not Reported,Daylight
8189,2617587,7/9/2010,Not Reported,Daylight
8190,2617992,6/26/2009,Not Reported,Daylight
8191,2549871,12/7/2009,Property damage only (none injured),Daylight
8192,2549872,12/5/2009,Property damage only (none injured),Dark - roadway not lighted
8193,2549874,12/2/2009,Non-fatal injury,Daylight
8194,2549875,12/2/2009,Property damage only (none injured),Daylight
8195,2549877,12/2/2009,Non-fatal injury,Dark - lighted roadway
8196,2549879,12/9/2009,Non-fatal injury,Daylight
8197,2589647,4/19/2010,Not Reported,Not reported
8198,2601563,5/19/2010,Non-fatal injury,Daylight
8199,2604679,5/30/2010,Property damage only (none injured),Not reported
8200,2604952,5/16/2010,Property damage only (none injured),Dark - lighted roadway
8201,2607106,6/5/2010,Property damage only (none injured),Dark - lighted roadway
8202,2608707,7/28/2009,Not Reported,Dark - lighted roadway
8203,2609028,5/27/2010,Property damage only (none injured),Daylight
8204,2609029,6/2/2010,Non-fatal injury,Daylight
8205,2609840,7/30/2009,Property damage only (none injured),Dusk
8206,2610516,2/11/2009,Property damage only (none injured),Daylight
8207,2610747,2/3/2009,Property damage only (none injured),Daylight
8208,2611349,6/16/2010,Property damage only (none injured),Dark - lighted roadway
8209,2611687,5/20/2010,Non-fatal injury,Dark - lighted roadway
8210,2611745,6/19/2010,Property damage only (none injured),Daylight
8211,2612295,1/25/2009,Property damage only (none injured),Daylight
8212,2613576,6/5/2010,Property damage only (none injured),Daylight
8213,2613586,6/12/2010,Not Reported,Dusk
8214,2613588,6/15/2010,Non-fatal injury,Dusk
8215,2613596,6/18/2010,Property damage only (none injured),Daylight
8216,2613598,6/19/2010,Not Reported,Daylight
8217,2613606,6/23/2010,Property damage only (none injured),Dark - lighted roadway
8218,2613715,6/28/2010,Property damage only (none injured),Daylight
8219,2615941,6/25/2010,Non-fatal injury,Daylight
8220,2615950,6/27/2010,Property damage only (none injured),Daylight
8221,2616382,6/20/2010,Property damage only (none injured),Daylight
8222,2616437,9/2/2009,Property damage only (none injured),Daylight
8223,2619056,7/2/2010,Non-fatal injury,Daylight
8224,2619068,2/11/2009,Not Reported,Daylight
8225,2619074,4/4/2010,Property damage only (none injured),Dark - lighted roadway
8226,2619075,7/6/2010,Non-fatal injury,Daylight
8227,2619077,7/7/2010,Not Reported,Daylight
8228,2619079,7/7/2010,Non-fatal injury,Daylight
8229,2619085,7/2/2010,Property damage only (none injured),Daylight
8230,2619146,5/3/2010,Non-fatal injury,Daylight
8231,2619365,2/25/2009,Not Reported,Not reported
8232,2619521,2/4/2009,Not Reported,Daylight
8233,2619800,7/11/2009,Non-fatal injury,Daylight
8234,2620233,7/18/2010,Not Reported,Daylight
8235,2620235,7/15/2010,Non-fatal injury,Dusk
8236,2620238,7/7/2010,Property damage only (none injured),Daylight
8237,2620240,7/11/2010,Non-fatal injury,Daylight
8238,2620242,7/10/2010,Property damage only (none injured),Dark - lighted roadway
8239,2620246,7/9/2010,Not Reported,Daylight
8240,2620248,7/13/2010,Non-fatal injury,Daylight
8241,2620249,7/9/2010,Property damage only (none injured),Daylight
8242,2620252,7/13/2010,Property damage only (none injured),Daylight
8243,2620254,7/13/2010,Not Reported,Daylight
8244,2620390,6/10/2009,Not Reported,Daylight
8245,2620590,6/29/2010,Non-fatal injury,Daylight
8246,2620592,7/15/2010,Property damage only (none injured),Daylight
8247,2620594,7/17/2010,Non-fatal injury,Daylight
8248,2620597,7/19/2010,Property damage only (none injured),Daylight
8249,2620598,7/25/2010,Non-fatal injury,Dark - lighted roadway
8250,2620599,7/25/2010,Property damage only (none injured),Daylight
8251,2621168,7/7/2010,Non-fatal injury,Dark - lighted roadway
8252,2621170,7/19/2010,Non-fatal injury,Daylight
8253,2621188,7/21/2010,Property damage only (none injured),Daylight
8254,2621189,7/22/2010,Property damage only (none injured),Daylight
8255,2621489,7/14/2010,Property damage only (none injured),Daylight
8256,2621490,7/16/2010,Property damage only (none injured),Daylight
8257,2621491,7/24/2010,Non-fatal injury,Daylight
8258,2622747,7/13/2010,Non-fatal injury,Daylight
8259,2623110,7/24/2010,Property damage only (none injured),Dark - roadway not lighted
8260,2623536,5/25/2010,Property damage only (none injured),Daylight
8261,2623537,7/26/2010,Property damage only (none injured),Daylight
8262,2623838,6/10/2010,Not Reported,Daylight
8263,2623977,7/14/2009,Non-fatal injury,Daylight
8264,2624086,7/21/2010,Not Reported,Daylight
8265,2624087,7/21/2010,Not Reported,Not reported
8266,2624089,7/22/2010,Non-fatal injury,Daylight
8267,2624281,8/3/2010,Non-fatal injury,Daylight
8268,2625048,8/2/2010,Property damage only (none injured),Daylight
8269,2625135,3/10/2010,Not Reported,Daylight
8270,2625210,3/6/2010,Non-fatal injury,Dark - lighted roadway
8271,2625212,3/14/2010,Not Reported,Not reported
8272,2625247,6/16/2009,Non-fatal injury,Not reported
8273,2625367,7/23/2010,Property damage only (none injured),Dark - lighted roadway
8274,2625371,7/24/2010,Non-fatal injury,Daylight
8275,2625373,7/23/2010,Property damage only (none injured),Dark - lighted roadway
8276,2625374,7/27/2010,Not Reported,Daylight
8277,2625620,6/30/2010,Property damage only (none injured),Daylight
8278,2625621,7/29/2010,Property damage only (none injured),Daylight
8279,2625810,7/19/2010,Property damage only (none injured),Daylight
8280,2625811,7/19/2010,Property damage only (none injured),Dark - lighted roadway
