new_stop
"(42.29177590909091, -71.39109826363635)"
"(42.27603093333334, -71.36390178333333)"
"(42.30568935, -71.35478568749998)"
"(42.295247687499995, -71.37939390625002)"
"(42.28987264666667, -71.39493428666668)"
"(42.292552790909085, -71.3774018)"
"(42.27368836666667, -71.39357053333333)"
"(42.28886903913043, -71.38086820869563)"
"(42.294066263157895, -71.38297045263157)"
"(42.26417745714286, -71.32807168571428)"
"(42.283938075, -71.3894977125)"
"(42.28679073124999, -71.39176428125)"
"(42.284927966666665, -71.3349013)"
"(42.279319533333336, -71.39618125)"
"(42.3144587, -71.3466467)"
"(42.287636521428574, -71.38801207857142)"
"(42.29399519, -71.37496289999999)"
"(42.2851381, -71.38503985384615)"
"(42.2737291, -71.3958835)"
"(42.3220217, -71.3314243)"
"(42.27539593333333, -71.38877993333334)"
"(42.28910760000008, -71.37443901058818)"
"(42.2770692625, -71.39351347499999)"
"(42.2802907, -71.39066574999998)"
"(42.29687273333334, -71.37585779999999)"
"(42.28513315, -71.37693831666665)"
"(42.292684599999994, -71.37584238333332)"
"(42.2796202125, -71.3857586875)"
"(42.28164625833333, -71.34980797499999)"
"(42.295531257142855, -71.37604067142857)"
"(42.290337225, -71.39806424999999)"
"(42.28470868461538, -71.39398769230769)"
"(42.29326033846154, -71.39933498461538)"
"(42.285471199999996, -71.39878898461538)"
"(42.29664028571428, -71.37371438571428)"
"(42.3147942, -71.35351279999999)"
"(42.2955584875, -71.3941338)"
