lat,long,og
42.3057595,-71.33255950000002,"(42.3057595, -71.33255950000002)"
42.2710906,-71.3449301,"(42.2710906, -71.3449301)"
42.302669,-71.32719,"(42.302669, -71.32719)"
42.304568,-71.35829799999999,"(42.304568, -71.35829799999999)"
42.2728956,-71.3936353,"(42.2728956, -71.3936353)"
42.2893335,-71.37601250000002,"(42.2893335, -71.37601250000002)"
42.2991507,-71.3261801,"(42.2991507, -71.3261801)"
42.31486880000001,-71.3505137,"(42.31486880000001, -71.3505137)"
42.29171789999999,-71.4009332,"(42.29171789999999, -71.4009332)"
42.3147489,-71.34603469999999,"(42.3147489, -71.34603469999999)"
42.304476,-71.378067,"(42.304476, -71.378067)"
42.2604708,-71.32898140000002,"(42.2604708, -71.32898140000002)"
42.2864761,-71.3752335,"(42.2864761, -71.3752335)"
42.3034113,-71.3448483,"(42.3034113, -71.3448483)"
42.2767766,-71.3253879,"(42.2767766, -71.3253879)"
42.2569212,-71.33769269999999,"(42.2569212, -71.33769269999999)"
42.27890960000001,-71.3284781,"(42.27890960000001, -71.3284781)"
42.2810317,-71.3335522,"(42.2810317, -71.3335522)"
42.29909,-71.32848899999999,"(42.29909, -71.32848899999999)"
42.2747716,-71.34562509999999,"(42.2747716, -71.34562509999999)"
42.3026556,-71.3455961,"(42.3026556, -71.3455961)"
42.2963119,-71.3291577,"(42.2963119, -71.3291577)"
42.2898101,-71.35507199999999,"(42.2898101, -71.35507199999999)"
42.2780965,-71.371726,"(42.2780965, -71.371726)"
42.2839799,-71.3265346,"(42.2839799, -71.3265346)"
42.2738119,-71.3418038,"(42.2738119, -71.3418038)"
42.2619669,-71.35049939999999,"(42.2619669, -71.35049939999999)"
42.3055036,-71.3315792,"(42.3055036, -71.3315792)"
42.2949545,-71.376821,"(42.2949545, -71.376821)"
42.2745921,-71.3433991,"(42.2745921, -71.3433991)"
42.31931489999999,-71.3380406,"(42.31931489999999, -71.3380406)"
42.3068089,-71.3328622,"(42.3068089, -71.3328622)"
42.28652779999999,-71.3491397,"(42.28652779999999, -71.3491397)"
42.270584,-71.381548,"(42.270584, -71.381548)"
42.2586945,-71.3349554,"(42.2586945, -71.3349554)"
42.2821858,-71.3864274,"(42.2821858, -71.3864274)"
42.2882857,-71.3921508,"(42.2882857, -71.3921508)"
