new_stop
"(42.32341055, -71.33544546666667)"
"(42.28905746363636, -71.35514813636364)"
"(42.308543235294124, -71.36686267647057)"
"(42.29593298888889, -71.37970408888889)"
"(42.313265606250006, -71.34882715000002)"
"(42.305985774999996, -71.339422625)"
"(42.2854821, -71.3755439)"
"(42.2939163, -71.35725641666666)"
"(42.30881710625, -71.36186861875001)"
"(42.29758855, -71.35995543333334)"
"(42.2726432, -71.63056329999999)"
"(42.31676903333334, -71.34343006666666)"
"(42.2913991, -71.38067459999999)"
"(42.2938828, -71.364078775)"
"(42.31385473636363, -71.35927884545455)"
"(42.310233365, -71.356393775)"
"(42.2904643, -71.39067128333333)"
"(42.30377145, -71.34680870833334)"
"(42.34426330000001, -71.33482409999999)"
"(42.308963892307695, -71.35125563076923)"
"(42.306035666666666, -71.3327689)"
"(42.30480198461539, -71.35848546153846)"
"(42.31713696666666, -71.34038353333332)"
"(42.304554849999995, -71.36295417)"
"(42.31078788, -71.33108161999999)"
"(42.30830615, -71.32929295)"
"(42.3284793, -71.3309654)"
"(42.322035075, -71.3366662)"
"(42.31321306666666, -71.33347506666667)"
"(42.31424683333333, -71.365518375)"
"(42.295622775, -71.353703825)"
"(42.2864539, -71.35402324444445)"
"(42.288669, -71.3386553)"
"(42.279791466666666, -71.38411286666667)"
"(42.315231100000005, -71.33091433999999)"
"(42.28155006, -71.38567086)"
"(42.2847417, -71.39456779999999)"
"(42.30556687, -71.34968079000001)"
"(42.32136986, -71.33124358)"
"(42.29173919999999, -71.3553221)"
"(42.29350566666667, -71.3557242)"
"(42.30523967352942, -71.35471095294116)"
"(42.29837811111111, -71.35462365555556)"
"(42.29384836250001, -71.3614574125)"
"(42.31426194375, -71.35266179999999)"
"(42.2994559, -71.3352225)"
"(42.2912304, -71.354951)"
"(42.2823623, -71.36019329999999)"
"(42.30581936666667, -71.32866106666665)"
"(42.30284533333334, -71.34407956666666)"
"(42.2910279, -71.3994385)"
"(42.2742071, -71.35299204999998)"
"(42.3076337, -71.33249703333333)"
"(42.309011725000005, -71.33486964999999)"
"(42.3047776, -71.332455)"
"(42.284574875000004, -71.35619485000001)"
"(42.3081025, -71.3377777)"
"(42.29652455000001, -71.35612625)"
"(42.2649556, -71.3350018)"
"(42.32133685555555, -71.32936736666666)"
"(42.2799479, -71.39660889999999)"
"(42.313620638461536, -71.35603014615384)"
"(42.29297132727272, -71.35055635454545)"
"(42.30601173333333, -71.33534984166668)"
"(42.29719358333334, -71.36520295000001)"
"(42.32801392857142, -71.33386255714285)"
"(42.3136195, -71.34447974)"
"(42.273540733333334, -71.37374706666667)"
"(42.2914235, -71.35238345)"
"(42.30601045, -71.330302625)"
"(42.2855188, -71.3825533)"
"(42.30755501538461, -71.3469269923077)"
