new_stop
"(42.28115311428571, -71.3430882)"
"(42.32105796, -71.33237582)"
"(42.292521625, -71.34911252500001)"
"(42.313144224999995, -71.365635975)"
"(42.3049090882353, -71.35665970588236)"
"(42.2773469, -71.32525869999999)"
"(42.280654, -71.3323109)"
"(42.3204511, -71.3378318)"
"(42.28113031666666, -71.35022763333332)"
"(42.306033839999984, -71.33368248000001)"
"(42.31224616666667, -71.35765023333333)"
"(42.2877448, -71.3457188)"
"(42.30901146, -71.36060234)"
"(42.30700386, -71.34725928999998)"
"(42.30819964545454, -71.32955157272727)"
"(42.31365087, -71.34778101999999)"
"(42.2892541, -71.34458986666665)"
"(42.2778305, -71.34857201666667)"
"(42.289769433333326, -71.3490591)"
"(42.28767263333333, -71.355643)"
"(42.27271446666666, -71.3605139)"
"(42.31464516666667, -71.35218289999999)"
"(42.28660341111111, -71.39174661111112)"
"(42.2949559, -71.35797149999999)"
"(42.28138060000001, -71.352353)"
"(42.292597, -71.3376231)"
"(42.282758, -71.32966635)"
"(42.32820243333333, -71.3348973)"
"(42.30727546, -71.3327025)"
"(42.282804, -71.3548321)"
"(42.31469621666667, -71.34370841666667)"
"(42.27984985, -71.35861014999999)"
"(42.293916433333344, -71.32747801666666)"
"(42.300084266666666, -71.3274007)"
"(42.310939819999994, -71.33071483999998)"
"(42.27676510000001, -71.3607466)"
"(42.28155634, -71.34145466)"
"(42.313052400000004, -71.33369110000001)"
"(42.3011485, -71.32620984999998)"
"(42.28061495, -71.35543809999999)"
"(42.269647066666664, -71.35686853333334)"
"(42.2888607, -71.32802752222223)"
"(42.3284793, -71.3309654)"
"(42.28731785714285, -71.32982208571428)"
"(42.3136686, -71.35544583333333)"
"(42.29636169, -71.33067778)"
"(42.30755339000002, -71.36438840666666)"
"(42.2718426, -71.37065774999999)"
"(42.29216776, -71.342063)"
"(42.30346831999999, -71.34754054000001)"
"(42.27725686666667, -71.35276281666667)"
"(42.28269103333333, -71.3530974)"
"(42.3151683, -71.3451157)"
"(42.309989800000004, -71.34679358333334)"
"(42.30909691428571, -71.34978485714285)"
"(42.302520025, -71.330663575)"
"(42.298759575, -71.3541278875)"
"(42.29160089999999, -71.35516305714285)"
"(42.27444928, -71.35152195999999)"
"(42.31304571428571, -71.35328748571429)"
"(42.288200966666665, -71.34245576666666)"
"(42.27344799999999, -71.329513)"
"(42.289306679999996, -71.33704618)"
"(42.31931489999999, -71.3380406)"
"(42.28231605333334, -71.3575241733333)"
"(42.298885142857145, -71.3299901142857)"
"(42.301974, -71.33324329999999)"
"(42.2895522, -71.3504973)"
"(42.2794046, -71.35224164)"
"(42.315477099999995, -71.3288245)"
"(42.331804500000004, -71.33055956666665)"
"(42.2802337, -71.3542203)"
"(42.27870975, -71.35495099999999)"
"(42.33013356666667, -71.32944443333334)"
"(42.2973747, -71.35279372)"
"(42.29204335, -71.3300723)"
"(42.271496, -71.35501479999999)"
"(42.321623, -71.33475899999999)"
"(42.2843709, -71.3377221)"
"(42.27957989999999, -71.34650750000002)"
"(42.29746335714286, -71.36205044285714)"
"(42.28662495, -71.353145)"
"(42.29646102, -71.34635904)"
"(42.29287978, -71.32636344)"
"(42.27319024444445, -71.35295915555555)"
"(42.32094466666666, -71.3290864)"
"(42.32067365, -71.3306986)"
"(42.29101822857143, -71.35178624285714)"
"(42.290335325, -71.34270262499999)"
"(42.29668016666667, -71.33251963333333)"
"(42.2932891, -71.23172160000001)"
"(42.30275735, -71.32664365)"
"(42.28818935, -71.33421693333332)"
"(42.29552436153846, -71.36509723076924)"
"(42.29356468333333, -71.3514608)"
"(42.2869226, -71.34754869999999)"
"(42.2967603, -71.3804815)"
"(42.3009134, -71.3284601)"
"(42.30724005454545, -71.35318384545454)"
"(42.30737514285715, -71.33563862857143)"
"(42.282758199999996, -71.34417445)"
"(42.2928533, -71.35538398333333)"
"(42.2889808, -71.33942379999999)"
"(42.2948584, -71.34868023333333)"
"(42.28098274999999, -71.3594966)"
"(42.29730131666667, -71.35608666666667)"
"(42.275635, -71.3503813)"
"(42.3220921, -71.3281353)"
"(42.295618887500005, -71.3515788375)"
"(42.30559957999999, -71.33091804)"
"(42.27768371818182, -71.34592334545454)"
"(42.276489999999995, -71.33885246666667)"
"(42.30979596666667, -71.33514853333332)"
"(42.2861163, -71.38183355)"
"(42.30926358181818, -71.35579023636363)"
"(42.3162235, -71.3317077)"
"(42.2919353, -71.3527241)"
"(42.31354326666666, -71.33320366666668)"
"(42.28356665, -71.34986844999999)"
"(42.3047052, -71.34978637500001)"
"(42.2808651, -71.3477101)"
"(42.305819379999996, -71.33675087999998)"
"(42.2943031, -71.3364864125)"
"(42.29889241428571, -71.33363225714285)"
"(42.29048685, -71.34674895)"
"(42.3231704, -71.3356513)"
"(42.27596915, -71.383791175)"
"(42.31320478333333, -71.34960423333332)"
"(42.314650155555555, -71.36244636666666)"
"(42.2823623, -71.36019329999999)"
"(42.3056704, -71.32917396)"
"(42.3052613, -71.33888918181816)"
"(42.2224289, -71.3824606)"
"(42.29289635, -71.32460499999999)"
"(42.314727111111104, -71.35721225555557)"
"(42.293188171428575, -71.36268512857143)"
"(42.294373283333336, -71.35683128333332)"
"(42.28644023333334, -71.35685303333332)"
"(42.264556400000004, -71.33296039999999)"
"(42.27024075, -71.31183039999999)"
"(42.275670266666665, -71.3570541)"
"(42.282985572222216, -71.33129017777777)"
"(42.30761176666667, -71.3377051)"
