,Name,GRADE,API_AD,coord,Lat,Lon,Color
164,222 WILLIAMS ST CHELSEA MA,Average +10,222+WILLIAMS+ST+CHELSEA+MA,"(42.392504, -71.0454125)",42.388911,-71.0424781,orange
165,10 JUSTIN DR CHELSEA MA,Average,10+JUSTIN+DR+CHELSEA+MA,"(42.3925383, -71.0476059)",42.388911,-71.0424781,orange
166,10 JUSTIN DR CHELSEA MA,Average,10+JUSTIN+DR+CHELSEA+MA,"(42.3925383, -71.0476059)",42.3889775,-71.0425222,orange
167,143 WILLIAMS ST CHELSEA MA,Average,143+WILLIAMS+ST+CHELSEA+MA,"(42.39146, -71.04248299999999)",42.3890298,-71.0425571,orange
168,34 ARLINGTON ST CHELSEA MA,Below Average,34+ARLINGTON+ST+CHELSEA+MA,"(42.3917839, -71.0420695)",42.3890298,-71.0425571,darkred
169,124 SECOND ST CHELSEA MA,Average,124+SECOND+ST+CHELSEA+MA,"(42.392838, -71.042968)",42.3890298,-71.0425571,orange
170,104 CHESTNUT ST CHELSEA MA,Average,104+CHESTNUT+ST+CHELSEA+MA,"(42.3906401, -71.0402036)",42.3895285,-71.043033,orange
171,100 CHESTNUT ST CHELSEA MA,Average,100+CHESTNUT+ST+CHELSEA+MA,"(42.3905475, -71.04033199999999)",42.3895801,-71.04310269999999,orange
172,44 ARLINGTON ST CHELSEA MA,Average,44+ARLINGTON+ST+CHELSEA+MA,"(42.3918621, -71.0417677)",42.3897822,-71.0428356,orange
173,99 SECOND ST CHELSEA MA,Average,99+SECOND+ST+CHELSEA+MA,"(42.392687, -71.041746)",42.3901162,-71.04317360000002,orange
174,97 SECOND ST CHELSEA MA,Average,97+SECOND+ST+CHELSEA+MA,"(42.39241820000001, -71.04157860000001)",42.3899967,-71.04343920000001,orange
175,60 ARLINGTON ST CHELSEA MA,Average,60+ARLINGTON+ST+CHELSEA+MA,"(42.3922794, -71.0412802)",42.3900363,-71.0435291,orange
176,75 ARLINGTON ST CHELSEA MA,Average +10,75+ARLINGTON+ST+CHELSEA+MA,"(42.3920862, -71.0399338)",42.3902325,-71.0432999,orange
177,110 CHESTNUT ST CHELSEA MA,Average +10,110+CHESTNUT+ST+CHELSEA+MA,"(42.3907947, -71.0398641)",42.3901185,-71.0437178,orange
178,136 CHESTNUT ST CHELSEA MA,Average,136+CHESTNUT+ST+CHELSEA+MA,"(42.3912531, -71.0390748)",42.3900853,-71.044066,orange
179,140 CHESTNUT ST CHELSEA MA,Average,140+CHESTNUT+ST+CHELSEA+MA,"(42.3913742, -71.03891109999999)",42.3905179,-71.04365580000001,orange
181,49 EVERETT AV CHELSEA MA,Average,49+EVERETT+AV+CHELSEA+MA,"(42.392799, -71.0386802)",42.3906007,-71.0437178,orange
182,43 EVERETT AV CHELSEA MA,Average,43+EVERETT+AV+CHELSEA+MA,"(42.3923, -71.038484)",42.3904225,-71.04403119999999,orange
183,174 CHESTNUT ST CHELSEA MA,Average,174+CHESTNUT+ST+CHELSEA+MA,"(42.3920825, -71.0376355)",42.390714,-71.04370399999999,orange
184,155 CHESTNUT ST CHELSEA MA,Average +20,155+CHESTNUT+ST+CHELSEA+MA,"(42.3914951, -71.0380622)",42.3904715,-71.0441008,orange
185,15 THIRD ST CHELSEA MA,Average +20,15+THIRD+ST+CHELSEA+MA,"(42.3913768, -71.03790289999999)",42.3907199,-71.0437642,orange
186,270 BROADWAY CHELSEA MA,Average +10,270+BROADWAY+CHELSEA+MA,"(42.391103, -71.037651)",42.3905317,-71.0441821,orange
