,Unnamed: 0,Street Number,Street Name,Land Area in Acres,Total Appraised Parcel Value,Price,Gross Area,Living Area,Lat,Lon,Name,API_AD,coord
2818,2818,360,REVERE BEACH PARKWAY,0.10789715,251200,320000.0,,,42.4052807,-71.02847849999999,360 REVERE BEACH PARKWAY CHELSEA MA,360+REVERE+BEACH+PARKWAY+CHELSEA+MA,"['42.4052807', ' -71.02847849999999']"
2819,2819,1010,REVERE BEACH PARKWAY,5.550849400000001,6941000,8000000.0,13008.0,12668.0,42.4029947,-71.0234973,1010 REVERE BEACH PARKWAY CHELSEA MA,1010+REVERE+BEACH+PARKWAY+CHELSEA+MA,"['42.4029947', ' -71.0234973']"
2820,2820,1016,REVERE BEACH PARKWAY,0.91827365,11301900,2545000.0,74108.0,59636.0,42.4036328,-71.0222436,1016 REVERE BEACH PARKWAY CHELSEA MA,1016+REVERE+BEACH+PARKWAY+CHELSEA+MA,"['42.4036328', ' -71.0222436']"
2821,2821,1094,REVERE BEACH PARKWAY,16.20851699,15078700,9600000.0,139186.0,117164.0,42.4038765,-71.02467659999999,1094 REVERE BEACH PARKWAY CHELSEA MA,1094+REVERE+BEACH+PARKWAY+CHELSEA+MA,"['42.4038765', ' -71.02467659999999']"
2822,2822,1052-1090,REVERE BEACH PARKWAY,4.24763545,4400400,10900000.0,36128.0,32164.0,42.4048619,-71.02327989999999,1052-1090 REVERE BEACH PARKWAY CHELSEA MA,1052-1090+REVERE+BEACH+PARKWAY+CHELSEA+MA,"['42.4048619', ' -71.02327989999999']"
2823,2823,64-66,REVERE BEACH PARKWAY,0.12768595,409500,100000.0,5397.0,3163.0,42.4034673,-71.03917489999999,64-66 REVERE BEACH PARKWAY CHELSEA MA,64-66+REVERE+BEACH+PARKWAY+CHELSEA+MA,"['42.4034673', ' -71.03917489999999']"
2824,2824,7,REYNOLDS AV,0.06244261,494600,463050.0,6753.0,4434.0,42.4034625,-71.0365212,7 REYNOLDS AV CHELSEA MA,7+REYNOLDS+AV+CHELSEA+MA,"['42.4034625', ' -71.0365212']"
2825,2825,8,REYNOLDS AV,0.08691460000000001,499100,505000.0,6075.0,3287.0,42.4031076,-71.036614,8 REYNOLDS AV CHELSEA MA,8+REYNOLDS+AV+CHELSEA+MA,"['42.4031076', ' -71.036614']"
2826,2826,12,REYNOLDS AV,0.12162534,449800,455000.0,4719.0,2385.0,42.4031023,-71.0367998,12 REYNOLDS AV CHELSEA MA,12+REYNOLDS+AV+CHELSEA+MA,"['42.4031023', ' -71.0367998']"
2827,2827,14,REYNOLDS AV,0.0,294900,282500.0,2728.0,2006.0,42.4031712,-71.0369855,14 REYNOLDS AV CHELSEA MA,14+REYNOLDS+AV+CHELSEA+MA,"['42.4031712', ' -71.0369855']"
2828,2828,16,REYNOLDS AV,0.0,145200,135000.0,778.0,681.0,42.4031634,-71.0370394,16 REYNOLDS AV CHELSEA MA,16+REYNOLDS+AV+CHELSEA+MA,"['42.4031634', ' -71.0370394']"
2829,2829,16,REYNOLDS AV,0.0,148300,159900.0,1032.0,929.0,42.4031634,-71.0370394,16 REYNOLDS AV CHELSEA MA,16+REYNOLDS+AV+CHELSEA+MA,"['42.4031634', ' -71.0370394']"
2830,2830,16,REYNOLDS AV,0.0,263800,267000.0,1420.0,1332.0,42.4031634,-71.0370394,16 REYNOLDS AV CHELSEA MA,16+REYNOLDS+AV+CHELSEA+MA,"['42.4031634', ' -71.0370394']"
2831,2831,17,REYNOLDS AV,0.0828742,357600,38000.0,4866.0,2633.0,42.4035129,-71.0370319,17 REYNOLDS AV CHELSEA MA,17+REYNOLDS+AV+CHELSEA+MA,"['42.4035129', ' -71.0370319']"
2832,2832,23,REYNOLDS AV,0.11443985,459200,453750.0,6458.0,3387.0,42.4035605,-71.0373105,23 REYNOLDS AV CHELSEA MA,23+REYNOLDS+AV+CHELSEA+MA,"['42.4035605', ' -71.0373105']"
2833,2833,32,REYNOLDS AV,0.19283747,549700,184900.0,6601.0,3137.0,42.4033489,-71.03782129999999,32 REYNOLDS AV CHELSEA MA,32+REYNOLDS+AV+CHELSEA+MA,"['42.4033489', ' -71.03782129999999']"
2834,2834,40,REYNOLDS AV,0.1350551,512200,640000.0,6564.0,3204.0,42.4033062,-71.0384248,40 REYNOLDS AV CHELSEA MA,40+REYNOLDS+AV+CHELSEA+MA,"['42.4033062', ' -71.0384248']"
2835,2835,61,REYNOLDS AV,0.109045,473400,370000.0,5468.0,3093.0,42.4037962,-71.03912129999999,61 REYNOLDS AV CHELSEA MA,61+REYNOLDS+AV+CHELSEA+MA,"['42.4037962', ' -71.03912129999999']"
2836,2836,63,REYNOLDS AV,0.08096878,416200,420000.0,6392.0,3044.0,42.40382,-71.0392605,63 REYNOLDS AV CHELSEA MA,63+REYNOLDS+AV+CHELSEA+MA,"['42.40382', ' -71.0392605']"
2837,2837,22,SAGAMORE AV,0.2098944,245200,825000.0,2692.0,2692.0,42.4049776,-71.0347568,22 SAGAMORE AV CHELSEA MA,22+SAGAMORE+AV+CHELSEA+MA,"['42.4049776', ' -71.0347568']"
2838,2838,22,SAGAMORE AV,0.2098944,245200,825000.0,,,42.4049776,-71.0347568,22 SAGAMORE AV CHELSEA MA,22+SAGAMORE+AV+CHELSEA+MA,"['42.4049776', ' -71.0347568']"
2839,2839,35,SAGAMORE AV,0.06831956,426600,207500.0,4191.0,3042.0,42.4047128,-71.03429249999999,35 SAGAMORE AV CHELSEA MA,35+SAGAMORE+AV+CHELSEA+MA,"['42.4047128', ' -71.03429249999999']"
2840,2840,39,SAGAMORE AV,0.06797521,288400,330000.0,3096.0,1912.0,42.4047038,-71.0341487,39 SAGAMORE AV CHELSEA MA,39+SAGAMORE+AV+CHELSEA+MA,"['42.4047038', ' -71.0341487']"
2841,2841,50,SAGAMORE AV,0.06271809,237200,190000.0,1888.0,946.0,42.4050279,-71.03396750000002,50 SAGAMORE AV CHELSEA MA,50+SAGAMORE+AV+CHELSEA+MA,"['42.4050279', ' -71.03396750000002']"
2842,2842,52,SAGAMORE AV,0.09182736,503800,340000.0,5060.0,2997.0,42.4050703,-71.0337818,52 SAGAMORE AV CHELSEA MA,52+SAGAMORE+AV+CHELSEA+MA,"['42.4050703', ' -71.0337818']"
2843,2843,53,SAGAMORE AV,0.09545455,371300,182900.0,4379.0,2316.0,42.4047609,-71.03367109999999,53 SAGAMORE AV CHELSEA MA,53+SAGAMORE+AV+CHELSEA+MA,"['42.4047609', ' -71.03367109999999']"
2844,2844,59,SAGAMORE AV,0.09187328,537500,550000.0,5591.0,4140.0,42.4047843,-71.0334103,59 SAGAMORE AV CHELSEA MA,59+SAGAMORE+AV+CHELSEA+MA,"['42.4047843', ' -71.0334103']"
2845,2845,60,SAGAMORE AV,0.06646006,423800,75000.0,4924.0,3342.0,42.4051081,-71.03352029999999,60 SAGAMORE AV CHELSEA MA,60+SAGAMORE+AV+CHELSEA+MA,"['42.4051081', ' -71.03352029999999']"
2846,2846,71,SAGAMORE AV,0.13087695,485200,300000.0,6042.0,3170.0,42.4048611,-71.03299249999999,71 SAGAMORE AV CHELSEA MA,71+SAGAMORE+AV+CHELSEA+MA,"['42.4048611', ' -71.03299249999999']"
2847,2847,82,SAGAMORE AV,0.08064738,421100,478000.0,5370.0,2859.0,42.4052054,-71.03262099999999,82 SAGAMORE AV CHELSEA MA,82+SAGAMORE+AV+CHELSEA+MA,"['42.4052054', ' -71.03262099999999']"
2848,2848,85,SAGAMORE AV,0.08140496,407600,91500.0,5739.0,3105.0,42.4048849,-71.03248169999999,85 SAGAMORE AV CHELSEA MA,85+SAGAMORE+AV+CHELSEA+MA,"['42.4048849', ' -71.03248169999999']"
2849,2849,89,SAGAMORE AV,0.07256657,523700,300000.0,6387.0,4011.0,42.404884,-71.03238499999999,89 SAGAMORE AV CHELSEA MA,89+SAGAMORE+AV+CHELSEA+MA,"['42.404884', ' -71.03238499999999']"
2850,2850,91,SAGAMORE AV,0.08409091,348500,605000.0,4457.0,2206.0,42.4048902,-71.032296,91 SAGAMORE AV CHELSEA MA,91+SAGAMORE+AV+CHELSEA+MA,"['42.4048902', ' -71.032296']"
2852,2852,102,SAGAMORE AV,0.10048209,585400,698000.0,6704.0,4530.0,42.40528620000001,-71.0319013,102 SAGAMORE AV CHELSEA MA,102+SAGAMORE+AV+CHELSEA+MA,"['42.40528620000001', ' -71.0319013']"
2853,2853,107,SAGAMORE AV,0.08780992,320100,128000.0,3456.0,2032.0,42.4049882,-71.0317853,107 SAGAMORE AV CHELSEA MA,107+SAGAMORE+AV+CHELSEA+MA,"['42.4049882', ' -71.0317853']"
2854,2854,108,SAGAMORE AV,0.12789256,405200,649500.0,6109.0,2969.0,42.4053709,-71.0315299,108 SAGAMORE AV CHELSEA MA,108+SAGAMORE+AV+CHELSEA+MA,"['42.4053709', ' -71.0315299']"
2855,2855,123,SAGAMORE AV,0.07045455,372300,349000.0,4693.0,2510.0,42.4050915,-71.03108879999999,123 SAGAMORE AV CHELSEA MA,123+SAGAMORE+AV+CHELSEA+MA,"['42.4050915', ' -71.03108879999999']"
2856,2856,124,SAGAMORE AV,0.02222222,4700,450000.0,5876.0,5740.0,42.405531,-71.031162,124 SAGAMORE AV CHELSEA MA,124+SAGAMORE+AV+CHELSEA+MA,"['42.405531', ' -71.031162']"
2857,2857,124,SAGAMORE AV,0.02222222,4700,450000.0,,,42.405531,-71.031162,124 SAGAMORE AV CHELSEA MA,124+SAGAMORE+AV+CHELSEA+MA,"['42.405531', ' -71.031162']"
2858,2858,126,SAGAMORE AV,0.06496786,359700,450000.0,4817.0,2426.0,42.4053802,-71.03104239999999,126 SAGAMORE AV CHELSEA MA,126+SAGAMORE+AV+CHELSEA+MA,"['42.4053802', ' -71.03104239999999']"
2859,2859,143,SAGAMORE AV,0.07816804,353500,355000.0,4501.0,2476.0,42.4051736,-71.0304852,143 SAGAMORE AV CHELSEA MA,143+SAGAMORE+AV+CHELSEA+MA,"['42.4051736', ' -71.0304852']"
2862,2862,6,SCHOOL ST,0.02208448,479900,525000.0,3330.0,2490.0,42.3888183,-71.0402881,6 SCHOOL ST CHELSEA MA,6+SCHOOL+ST+CHELSEA+MA,"['42.3888183', ' -71.0402881']"
2863,2863,28,SECOND ST,0.0348944,482100,320000.0,5028.0,3803.0,42.3903045,-71.03981770000001,28 SECOND ST CHELSEA MA,28+SECOND+ST+CHELSEA+MA,"['42.3903045', ' -71.03981770000001']"
2864,2864,263,SECOND ST,0.35711662,284300,5700000.0,4983.0,3537.0,42.397216,-71.046476,263 SECOND ST CHELSEA MA,263+SECOND+ST+CHELSEA+MA,"['42.397216', ' -71.046476']"
2865,2865,263,SECOND ST,0.35711662,284300,5700000.0,,,42.397216,-71.046476,263 SECOND ST CHELSEA MA,263+SECOND+ST+CHELSEA+MA,"['42.397216', ' -71.046476']"
2866,2866,285,SECOND ST,0.68360882,209600,279780.0,736.0,736.0,42.3975889,-71.0469627,285 SECOND ST CHELSEA MA,285+SECOND+ST+CHELSEA+MA,"['42.3975889', ' -71.0469627']"
2867,2867,285,SECOND ST,0.68360882,209600,279780.0,,,42.3975889,-71.0469627,285 SECOND ST CHELSEA MA,285+SECOND+ST+CHELSEA+MA,"['42.3975889', ' -71.0469627']"
2868,2868,12,SHAWMUT ST,0.11269513,566500,85000.0,3726.0,3696.0,42.3871522,-71.0346175,12 SHAWMUT ST CHELSEA MA,12+SHAWMUT+ST+CHELSEA+MA,"['42.3871522', ' -71.0346175']"
2869,2869,43,SHAWMUT ST,0.05013774,254900,300000.0,2911.0,1886.0,42.3882218,-71.0338082,43 SHAWMUT ST CHELSEA MA,43+SHAWMUT+ST+CHELSEA+MA,"['42.3882218', ' -71.0338082']"
2870,2870,45,SHAWMUT ST,0.04442149,410400,300000.0,4186.0,2731.0,42.3883097,-71.0338177,45 SHAWMUT ST CHELSEA MA,45+SHAWMUT+ST+CHELSEA+MA,"['42.3883097', ' -71.0338177']"
2871,2871,46,SHAWMUT ST,0.05509642,440100,325000.0,5520.0,3814.0,42.388371,-71.03415319999999,46 SHAWMUT ST CHELSEA MA,46+SHAWMUT+ST+CHELSEA+MA,"['42.388371', ' -71.03415319999999']"
2872,2872,54,SHAWMUT ST,0.04047291,446800,19000.0,4336.0,2806.0,42.3885999,-71.0341036,54 SHAWMUT ST CHELSEA MA,54+SHAWMUT+ST+CHELSEA+MA,"['42.3885999', ' -71.0341036']"
2873,2873,66,SHAWMUT ST,0.04972452,479100,150000.0,4692.0,3402.0,42.3891002,-71.0339485,66 SHAWMUT ST CHELSEA MA,66+SHAWMUT+ST+CHELSEA+MA,"['42.3891002', ' -71.0339485']"
2874,2874,68,SHAWMUT ST,0.03976125,195100,5828721.0,4236.0,2886.0,42.3891729,-71.03391739999999,68 SHAWMUT ST CHELSEA MA,68+SHAWMUT+ST+CHELSEA+MA,"['42.3891729', ' -71.03391739999999']"
2875,2875,70,SHAWMUT ST,0.03243802,182800,5828721.0,4272.0,2922.0,42.3891933,-71.0338613,70 SHAWMUT ST CHELSEA MA,70+SHAWMUT+ST+CHELSEA+MA,"['42.3891933', ' -71.0338613']"
2876,2876,73,SHAWMUT ST,0.06427916,496300,130000.0,4532.0,3356.0,42.3893354,-71.0335032,73 SHAWMUT ST CHELSEA MA,73+SHAWMUT+ST+CHELSEA+MA,"['42.3893354', ' -71.0335032']"
2877,2877,77,SHAWMUT ST,0.04841598,196700,5828721.0,4120.0,2769.0,42.3894129,-71.03346840000002,77 SHAWMUT ST CHELSEA MA,77+SHAWMUT+ST+CHELSEA+MA,"['42.3894129', ' -71.03346840000002']"
2878,2878,79,SHAWMUT ST,0.05876951,218300,5828721.0,3738.0,2721.0,42.3894759,-71.0334568,79 SHAWMUT ST CHELSEA MA,79+SHAWMUT+ST+CHELSEA+MA,"['42.3894759', ' -71.0334568']"
2879,2879,90,SHAWMUT ST,0.03172635,189700,5828721.0,4227.0,2979.0,42.3898044,-71.0336425,90 SHAWMUT ST CHELSEA MA,90+SHAWMUT+ST+CHELSEA+MA,"['42.3898044', ' -71.0336425']"
2880,2880,96,SHAWMUT ST,0.04738292,427900,274000.0,4408.0,3246.0,42.39018,-71.033693,96 SHAWMUT ST CHELSEA MA,96+SHAWMUT+ST+CHELSEA+MA,"['42.39018', ' -71.033693']"
2881,2881,98,SHAWMUT ST,0.05697888,493000,320000.0,5312.0,3924.0,42.3902349,-71.033664,98 SHAWMUT ST CHELSEA MA,98+SHAWMUT+ST+CHELSEA+MA,"['42.3902349', ' -71.033664']"
2882,2882,100,SHAWMUT ST,0.15782828,541900,259000.0,6231.0,4437.0,42.390319,-71.03356120000001,100 SHAWMUT ST CHELSEA MA,100+SHAWMUT+ST+CHELSEA+MA,"['42.390319', ' -71.03356120000001']"
2883,2883,104,SHAWMUT ST,0.11880165,536000,590000.0,4560.0,3420.0,42.390484,-71.033529,104 SHAWMUT ST CHELSEA MA,104+SHAWMUT+ST+CHELSEA+MA,"['42.390484', ' -71.033529']"
2884,2884,116,SHAWMUT ST,0.08604224,289400,215000.0,3822.0,2244.0,42.3906681,-71.033271,116 SHAWMUT ST CHELSEA MA,116+SHAWMUT+ST+CHELSEA+MA,"['42.3906681', ' -71.033271']"
2885,2885,120,SHAWMUT ST,0.08595041,358700,430000.0,3849.0,2246.0,42.3907641,-71.03323619999999,120 SHAWMUT ST CHELSEA MA,120+SHAWMUT+ST+CHELSEA+MA,"['42.3907641', ' -71.03323619999999']"
2886,2886,122,SHAWMUT ST,0.11363636,362300,245000.0,3507.0,2170.0,42.3908456,-71.0332246,122 SHAWMUT ST CHELSEA MA,122+SHAWMUT+ST+CHELSEA+MA,"['42.3908456', ' -71.0332246']"
2887,2887,126,SHAWMUT ST,0.11363636,522500,270000.0,5488.0,3771.0,42.3909701,-71.0330853,126 SHAWMUT ST CHELSEA MA,126+SHAWMUT+ST+CHELSEA+MA,"['42.3909701', ' -71.0330853']"
2888,2888,128,SHAWMUT ST,0.0362259,642300,1583000.0,9892.0,7419.0,42.39106,-71.0330963,128 SHAWMUT ST CHELSEA MA,128+SHAWMUT+ST+CHELSEA+MA,"['42.39106', ' -71.0330963']"
2889,2889,141,SHAWMUT ST,0.02869605,283100,220000.0,2871.0,1826.0,42.3914053,-71.0325398,141 SHAWMUT ST CHELSEA MA,141+SHAWMUT+ST+CHELSEA+MA,"['42.3914053', ' -71.0325398']"
2890,2890,144,SHAWMUT ST,0.05612948,13800,623194.0,10736.0,7554.0,42.3915617,-71.0329466,144 SHAWMUT ST CHELSEA MA,144+SHAWMUT+ST+CHELSEA+MA,"['42.3915617', ' -71.0329466']"
2891,2891,144,SHAWMUT ST,0.05612948,13800,623194.0,,,42.3915617,-71.0329466,144 SHAWMUT ST CHELSEA MA,144+SHAWMUT+ST+CHELSEA+MA,"['42.3915617', ' -71.0329466']"
2892,2892,151,SHAWMUT ST,0.05280073,340100,356800.0,4781.0,2915.0,42.3916298,-71.0323889,151 SHAWMUT ST CHELSEA MA,151+SHAWMUT+ST+CHELSEA+MA,"['42.3916298', ' -71.0323889']"
2893,2893,156,SHAWMUT ST,0.08080808,511300,250000.0,5992.0,4107.0,42.3919291,-71.03262099999999,156 SHAWMUT ST CHELSEA MA,156+SHAWMUT+ST+CHELSEA+MA,"['42.3919291', ' -71.03262099999999']"
2894,2894,158,SHAWMUT ST,0.05206612,433900,225000.0,6261.0,4665.0,42.39200650000001,-71.03259419999999,158 SHAWMUT ST CHELSEA MA,158+SHAWMUT+ST+CHELSEA+MA,"['42.39200650000001', ' -71.03259419999999']"
2895,2895,161,SHAWMUT ST,0.05550964,254100,167000.0,2064.0,1296.0,42.3918993,-71.0322844,161 SHAWMUT ST CHELSEA MA,161+SHAWMUT+ST+CHELSEA+MA,"['42.3918993', ' -71.0322844']"
2896,2896,162,SHAWMUT ST,0.03760331,18900,2558210.0,18627.0,15157.0,42.3920987,-71.0325282,162 SHAWMUT ST CHELSEA MA,162+SHAWMUT+ST+CHELSEA+MA,"['42.3920987', ' -71.0325282']"
2897,2897,162,SHAWMUT ST,0.03760331,18900,2558210.0,,,42.3920987,-71.0325282,162 SHAWMUT ST CHELSEA MA,162+SHAWMUT+ST+CHELSEA+MA,"['42.3920987', ' -71.0325282']"
2898,2898,45R,SHAWMUT ST,0.01411846,2400,300000.0,9061.0,6138.0,42.3883097,-71.0338177,45R SHAWMUT ST CHELSEA MA,45R+SHAWMUT+ST+CHELSEA+MA,"['42.3883097', ' -71.0338177']"
2899,2899,45R,SHAWMUT ST,0.01411846,2400,300000.0,,,42.3883097,-71.0338177,45R SHAWMUT ST CHELSEA MA,45R+SHAWMUT+ST+CHELSEA+MA,"['42.3883097', ' -71.0338177']"
2900,2900,90A,SHAWMUT ST,0.00998623,6500,5828721.0,30452.0,29072.0,42.3897393,-71.0337354,90A SHAWMUT ST CHELSEA MA,90A+SHAWMUT+ST+CHELSEA+MA,"['42.3897393', ' -71.0337354']"
2901,2901,90A,SHAWMUT ST,0.00998623,6500,5828721.0,,,42.3897393,-71.0337354,90A SHAWMUT ST CHELSEA MA,90A+SHAWMUT+ST+CHELSEA+MA,"['42.3897393', ' -71.0337354']"
2902,2902,9,SHURTLEFF ST,0.05785124,441900,535000.0,5348.0,2806.0,42.387674,-71.0361497,9 SHURTLEFF ST CHELSEA MA,9+SHURTLEFF+ST+CHELSEA+MA,"['42.387674', ' -71.0361497']"
2903,2903,15,SHURTLEFF ST,0.05204316,395900,220000.0,4204.0,2640.0,42.3878145,-71.0361033,15 SHURTLEFF ST CHELSEA MA,15+SHURTLEFF+ST+CHELSEA+MA,"['42.3878145', ' -71.0361033']"
2904,2904,26,SHURTLEFF ST,0.1365932,377400,171000.0,3600.0,2630.0,42.388172,-71.036357,26 SHURTLEFF ST CHELSEA MA,26+SHURTLEFF+ST+CHELSEA+MA,"['42.388172', ' -71.036357']"
2905,2905,27,SHURTLEFF ST,0.06887052,313100,325000.0,2586.0,1424.0,42.3881006,-71.03582469999999,27 SHURTLEFF ST CHELSEA MA,27+SHURTLEFF+ST+CHELSEA+MA,"['42.3881006', ' -71.03582469999999']"
2906,2906,28,SHURTLEFF ST,0.0682966,435900,330000.0,4222.0,2886.0,42.3882377,-71.0361381,28 SHURTLEFF ST CHELSEA MA,28+SHURTLEFF+ST+CHELSEA+MA,"['42.3882377', ' -71.0361381']"
2907,2907,37,SHURTLEFF ST,0.06887052,385300,240000.0,4200.0,2616.0,42.38823499999999,-71.0355809,37 SHURTLEFF ST CHELSEA MA,37+SHURTLEFF+ST+CHELSEA+MA,"['42.38823499999999', ' -71.0355809']"
2908,2908,61,SHURTLEFF ST,0.0,184900,115000.0,1210.0,1210.0,42.3888796,-71.0351747,61 SHURTLEFF ST CHELSEA MA,61+SHURTLEFF+ST+CHELSEA+MA,"['42.3888796', ' -71.0351747']"
2909,2909,61,SHURTLEFF ST,0.0,191700,50000.0,1280.0,1280.0,42.3888796,-71.0351747,61 SHURTLEFF ST CHELSEA MA,61+SHURTLEFF+ST+CHELSEA+MA,"['42.3888796', ' -71.0351747']"
